MOTHER.ID,CUB.D.O.B,INTERBIRTH.INTERVAL,NUMBER.CUBS.IN.LITTER,NUMBER.MALE,NUMBER.FEMALE,NUMBER.CUBS.TO.REACH.YEAR3,YEAR
3_4,1/10/1995,24,2,1,1,2,1995
3_4,1/10/1997,5,2,NA,NA,0,1997
3_4,1/03/1998,6,1,1,NA,0,1998
3_4,1/09/1998,36,2,1,1,2,1998
3_4,1/09/2001,15,2,1,1,0,2001
3_4,1/12/2002,9,2,NA,NA,0,2002
3_4,1/09/2003,5,2,NA,NA,0,2003
3_4,1/02/2004,10,2,NA,1,0,2004
3_4,1/12/2004,14,2,NA,NA,0,2004
3_4,1/02/2006,12,NA,NA,NA,0,2006
3_4,1/02/2007,NA,1,1,NA,0,2007
Campbell_Koppies,1/02/2004,8,NA,NA,NA,0,2004
Campbell_Koppies,1/10/2004,33,2,NA,2,2,2004
Campbell_Koppies,1/07/2007,19,1,NA,1,1,2007
Campbell_Koppies,1/02/2009,9,3,NA,NA,0,2009
Campbell_Koppies,1/11/2009,13,2,NA,NA,0,2009
Campbell_Koppies,1/12/2010,5,NA,NA,NA,0,2010
Campbell_Koppies,1/05/2011,22,2,NA,NA,0,2011
Campbell_Koppies,1/03/2013,NA,1,NA,NA,0,2013
Dudley_Riverbank,1/12/2002,24,2,1,1,0,2002
Dudley_Riverbank,1/12/2004,11,2,NA,NA,0,2004
Dudley_Riverbank,1/11/2005,11,2,NA,NA,0,2005
Dudley_Riverbank,1/10/2006,33,2,2,NA,2,2006
Dudley_Riverbank,1/07/2009,32,2,1,1,1,2009
Dudley_Riverbank,1/03/2012,NA,1,NA,1,1,2012
Flockfield,1/06/2011,NA,2,1,NA,NA,2011
Hlabankunzi,1/01/2010,23,2,NA,2,0,2010
Hlabankunzi,1/12/2011,9,1,NA,NA,0,2011
Hlabankunzi,1/09/2012,17,1,NA,1,1,2012
Hlabankunzi,1/02/2014,10,2,NA,NA,0,2014
Hlabankunzi,1/12/2014,NA,2,NA,NA,NA,2014
Inkanyeni,1/02/2010,13,1,1,NA,0,2010
Inkanyeni,1/03/2011,21,1,1,NA,1,2011
Inkanyeni,1/12/2012,10,1,NA,NA,0,2012
Inkanyeni,1/10/2013,NA,2,1,1,NA,2013
Jakkalsdraai,1/04/2004,26,2,NA,2,2,2004
Jakkalsdraai,1/06/2006,7,NA,NA,NA,0,2006
Jakkalsdraai,1/01/2007,23,NA,NA,NA,0,2007
Jakkalsdraai,1/12/2008,20,1,1,NA,1,2008
Jakkalsdraai,1/08/2010,11,1,NA,NA,0,2010
Jakkalsdraai,1/07/2011,NA,2,NA,2,1,2011
Kapen,1/06/1997,11,NA,NA,NA,0,1997
Kapen,1/05/1998,18,2,NA,NA,0,1998
Kapen,1/11/1999,24,1,NA,1,1,1999
Kapen,1/11/2001,35,2,NA,1,1,2001
Kapen,1/10/2004,8,NA,NA,NA,0,2004
Kapen,1/06/2005,31,1,1,NA,1,2005
Kapen,1/01/2008,12,2,NA,NA,0,2008
Kapen,1/01/2009,NA,1,NA,NA,0,2009
Karula,1/02/2007,21,2,NA,2,2,2007
Karula,1/11/2008,23,2,2,NA,2,2008
Karula,1/10/2010,26,2,1,1,1,2010
Karula,1/12/2012,23,2,2,NA,2,2012
Karula,1/11/2014,NA,1,NA,NA,0,2014
Kikilezi,1/02/2006,24,2,1,NA,1,2006
Kikilezi,1/02/2008,23,2,2,NA,1,2008
Kikilezi,1/01/2010,26,3,2,1,1,2010
Kikilezi,1/03/2012,16,2,1,NA,0,2012
Kikilezi,1/07/2013,5,NA,NA,NA,0,2013
Kikilezi,1/12/2013,NA,2,1,1,NA,2013
KK,1/02/2009,NA,1,1,NA,1,2009
Kwatile,1/02/2011,24,1,1,NA,0,2011
Kwatile,1/02/2013,12,1,NA,NA,0,2013
Kwatile,1/02/2014,NA,1,1,NA,NA,2014
Kwela_Kwela,1/06/2011,28,1,1,NA,1,2011
Kwela_Kwela,1/10/2013,NA,1,NA,1,NA,2013
Little_Bush,1/08/2008,24,1,NA,NA,1,2008
Little_Bush,1/08/2010,16,1,NA,1,0,2010
Little_Bush,1/12/2011,13,2,NA,NA,0,2011
Little_Bush,1/01/2013,13,1,NA,NA,0,2013
Little_Bush,1/02/2014,NA,2,1,NA,NA,2014
Makubela,1/08/2007,9,NA,NA,NA,0,2007
Makubela,1/05/2008,8,2,NA,NA,0,2008
Makubela,1/01/2009,11,2,NA,NA,0,2009
Makubela,1/12/2009,NA,2,1,1,0,2009
Makwela,1/03/1997,10,NA,NA,NA,0,1997
Makwela,1/01/1998,11,NA,NA,NA,0,1998
Makwela,1/12/1998,11,NA,NA,NA,0,1998
Makwela,1/11/1999,25,2,2,NA,2,1999
Makwela,1/12/2001,25,3,NA,3,3,2001
Makwela,1/01/2004,23,NA,1,NA,1,2004
Makwela,1/12/2005,5,NA,NA,NA,0,2005
Makwela,1/05/2006,23,1,NA,1,1,2006
Makwela,1/04/2008,10,3,NA,NA,0,2008
Makwela,1/02/2009,NA,NA,NA,NA,0,2009
Mambiri,1/11/2006,29,2,NA,1,1,2006
Mambiri,1/04/2009,40,2,NA,1,1,2009
Mashaba,1/08/2012,19,2,NA,1,1,2012
Mashaba,1/03/2014,NA,3,NA,NA,0,2014
