ID,YEAR,HUNT_START_DATE,DAYS_BOOKED,HUNT_SUCCESSFUL,WHY_UNSUCCESSFUL,PREBAITING,NUMBER_BAIT_SITES,NUMBER_BAITS_FED,NUMBER_BAIT_NIGHTS,NUMBER_BAITS,NUMBER_ADULTM,ADULTM_EVIDENCE,NUMBER_ADULTF,ADULTF_EVIDENCE,NUMBER_SUBM,SUBM_EVIDENCE,NUMBER_SUBF,SUBF_EVIDENCE,NUMBER_JUVENILE,JUVENILE_EVIDENCE,NUMBER_UNKNOWN,UNKNOWN_EVIDENCE,DAYS_TROPHY_TAKEN,SEX,BODY_LENGTH,SHOULDER_HEIGHT,NECK,SKULL_LENGTH,SKULL_WIDTH,WEIGHT,AGE_CLASS
16,2012,18/08/2012,4,N,UNKNOWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2012,25/07/2012,11,N,UNKNOWN,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2012,16/07/2012,15,N,UNKNOWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,2013,01/07/2013,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2013,25/07/2013,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2013,08/10/2013,10,N,FENCING_STOPPED_MOVEMENT_OF_LEOPARD,N,7,0,70,15,NA,NA,NA,NA,NA,NA,1,TRACKS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,2013,30/04/2013,NA,N,NA,NA,4,NA,16,NA,1,TRACKS,1,TRACKS,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,2014,05/06/2014,10,N,ONLY_WANT_TO_SHOOT_OLD_MALE,Y,6,3,63,12,0,NA,1,TRAILCAM,1,TRAILCAM,0,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,2014,17/08/2014,14,N,CLIENT_SICK,Y,6,3,129,24,2,TRACKS,1,TRACKS,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,2014,25/08/2014,12,N,LEOPARD NOT TAKING BAIT CONSISTENTLY,Y,5,2,75,6,1,TRACKS_TRAILCAM,1,TRACKS_TRAILCAM,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,2014,27/05/2014,14,N,CLIENT_WAS_UNWELL,N,4,3,16,4,3,TRAIL_CAMERA,2,TRAIL_CAMERA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,2014,03/11/2014,30,N,"HAD ANOTHER COLLARED CAT IN THE AREAS WHICH WE SPENT 3 WEEKS TRYING TO PHONE THE OWNER OF COLLAR TO REMOVE IT, DUE TO A STRANGLING COLLAR, AND OUR PERMIT RAN OUT OF TIME",N,3,3,30,11,2,TRAIL_CAMERA_TRACKS_SIGHTING,2,TRAIL_CAMERA_TRACKS_SIGHTING,1,TRAIL_CAMERA_TRACKS_SIGHTING,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,2014,09/12/2014,22,N,FEMALE PROBABLY ON HEAT. ONE MALE CAUGHT OWN BUSHBUCK. OTHER MALE ALWAYS BACK TO FEMALE,Y,4,0,88,6,2,TRACKS_BUSHBUCK_KILLED,1,TRACKS,0,NA,0,NA,2,TRACKS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2012,04/06/2012,15,Y,NA,Y,2,3,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,6,M,1430,380,490,420,290,70,NA
15,2012,NA,NA,Y,NA,Y,3,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2250,790,550,240,160,NA,NA
21,2012,13/06/2012,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2400,NA,600,NA,NA,80,NA
39,2012,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2265,NA,560,NA,NA,68,NA
1,2012,16/12/2012,NA,Y,NA,Y,2,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,M,2750,670,720,280,175,74,ADULT <7 YRS
24,2012,11/09/2012,13,Y,NA,Y,4,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,F,1890,710,417,212,134,NA,ADULT
6,2012,26/07/2012,10,Y,NA,Y,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,F,1980,450,360,210,130,45,ADULT
27,2012,09/08/2012,13,Y,NA,Y,2,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,2210,680,350,230,130,NA,ADULT
41,2012,NA,NA,Y,NA,Y,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,1980,535,429,225,145,40,ADULT
5,2012,25/07/2012,18,Y,NA,Y,5,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,M,1800,600,380,160,135,NA,SUBADULT
4,2012,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2060,NA,590,260,NA,78,ADULT >7 YRS
10,2012,NA,NA,Y,NA,Y,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,M,2180,660,530,235,145,67,ADULT <7 YRS
9,2012,19/06/2012,11,Y,NA,Y,6,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,M,2362,914,597,292,159,NA,ADULT <7 YRS
8,2012,NA,NA,Y,NA,Y,2,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,M,2600,630,680,260,160,NA,ADULT <7 YRS
28,2012,11/09/2012,16,Y,NA,Y,3,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,F,1950,660,490,232,161,NA,ADULT
14,2012,01/08/2012,20,Y,NA,Y,2,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,M,2120,790,583,270,165,NA,ADULT >7 YRS
25,2012,23/08/2012,11,Y,NA,Y,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,M,2692,660,635,304,171,NA,ADULT <7 YRS
