YEAR,F_RESIDENT,F_DISPERSED,M_RESIDENT,M_DISPERSED,PROP_F_DISPERSAL,PROP_M_DISPERSAL,DENSITY_100KM2
2000,1,0,1,2,0.000,0.667,4
2001,4,0,1,0,0.000,0.000,7
2002,3,0,0,2,0.000,1.000,7
2003,1,0,1,1,0.000,0.500,7
2004,4,0,0,2,0.000,1.000,8
2005,0,0,1,0,NA,0.000,12
2006,3,0,2,0,0.000,0.000,11
2007,5,0,0,1,0.000,1.000,10
2008,3,1,3,0,0.250,0.000,14
2009,5,1,5,1,0.167,0.167,14
2010,4,0,1,0,0.000,0.000,16
2011,2,0,7,3,0.000,0.300,16
2012,5,0,3,3,0.000,0.500,16
2013,1,2,4,0,0.667,0.000,17
2014,2,1,3,1,0.333,0.250,18
