"ID","SEX","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","CENSUS.STATUS","AGE.CLASS.DEATH","CATEGORY.DEATH","AGE.MET"
3,"MALE",78,"ADULT","MALE_ADULT",87,84,1,"ADULT","MALE_ADULT",0
4,"FEMALE",54,"ADULT","FEMALE_ADULT",64,64,1,"ADULT","FEMALE_ADULT",1
5,"MALE",96,"ADULT","MALE_ADULT",137,84,1,"ADULT","MALE_ADULT",0
6,"MALE",36,"SUBADULT","MALE_SUBADULT",42,42,1,"ADULT","MALE_ADULT",1
7,"FEMALE",36,"SUBADULT","FEMALE_SUBADULT",72,72,1,"ADULT","FEMALE_ADULT",1
9,"FEMALE",15,"JUVENILE","FEMALE_JUVENILE",130,84,1,"ADULT","FEMALE_ADULT",0
10,"FEMALE",24,"JUVENILE","FEMALE_JUVENILE",79,79,1,"ADULT","FEMALE_ADULT",1
11,"FEMALE",96,"ADULT","FEMALE_ADULT",140,84,1,"ADULT","FEMALE_ADULT",0
12,"FEMALE",5,"CUB","FEMALE_CUB",68,68,0,"ADULT","FEMALE_ADULT",1
14,"FEMALE",65,"ADULT","FEMALE_ADULT",152,84,1,"ADULT","FEMALE_ADULT",0
15,"MALE",48,"ADULT","MALE_ADULT",60,60,1,"ADULT","MALE_ADULT",1
19,"MALE",24,"JUVENILE","MALE_JUVENILE",86,84,1,"ADULT","MALE_ADULT",0
22,"MALE",60,"ADULT","MALE_ADULT",96,84,1,"ADULT","MALE_ADULT",0
23,"MALE",54,"ADULT","MALE_ADULT",64,64,1,"ADULT","MALE_ADULT",1
25,"MALE",6,"CUB","MALE_CUB",60,60,0,"ADULT","MALE_ADULT",1
27,"FEMALE",1,"CUB","FEMALE_CUB",87,84,0,"ADULT","FEMALE_ADULT",0
28,"FEMALE",84,"ADULT","FEMALE_ADULT",154,84,0,"ADULT","FEMALE_ADULT",0
29,"MALE",1,"CUB","MALE_CUB",57,57,1,"ADULT","MALE_ADULT",1
31,"MALE",120,"ADULT","MALE_ADULT",140,84,0,"ADULT","MALE_ADULT",0
33,"MALE",72,"ADULT","MALE_ADULT",77,77,0,"ADULT","MALE_ADULT",1
34,"MALE",24,"JUVENILE","MALE_JUVENILE",39,39,0,"ADULT","MALE_ADULT",1
35,"MALE",108,"ADULT","MALE_ADULT",120,84,1,"ADULT","MALE_ADULT",0
36,"FEMALE",36,"SUBADULT","FEMALE_SUBADULT",49,49,0,"ADULT","FEMALE_ADULT",1
37,"FEMALE",60,"ADULT","FEMALE_ADULT",74,74,0,"ADULT","FEMALE_ADULT",1
38,"MALE",108,"ADULT","MALE_ADULT",121,84,0,"ADULT","MALE_ADULT",0
39,"FEMALE",4,"CUB","FEMALE_CUB",54,54,0,"ADULT","FEMALE_ADULT",1
42,"FEMALE",2,"CUB","FEMALE_CUB",73,73,0,"ADULT","FEMALE_ADULT",1
43,"MALE",36,"SUBADULT","MALE_SUBADULT",44,44,1,"ADULT","MALE_ADULT",1
44,"MALE",60,"ADULT","MALE_ADULT",60,60,0,"ADULT","MALE_ADULT",1
45,"FEMALE",144,"ADULT","FEMALE_ADULT",172,84,1,"ADULT","FEMALE_ADULT",0
49,"MALE",48,"ADULT","MALE_ADULT",54,54,0,"ADULT","MALE_ADULT",1
51,"FEMALE",48,"ADULT","FEMALE_ADULT",63,63,0,"ADULT","FEMALE_ADULT",1
58,"MALE",24,"JUVENILE","MALE_JUVENILE",44,44,0,"ADULT","MALE_ADULT",1
59,"FEMALE",18,"JUVENILE","FEMALE_JUVENILE",38,38,0,"ADULT","FEMALE_ADULT",1
64,"MALE",55,"ADULT","MALE_ADULT",93,84,1,"ADULT","MALE_ADULT",0
67,"FEMALE",29,"SUBADULT","FEMALE_SUBADULT",44,44,0,"ADULT","FEMALE_ADULT",1
69,"FEMALE",180,"ADULT","FEMALE_ADULT",185,84,0,"ADULT","FEMALE_ADULT",0
70,"FEMALE",42,"ADULT","FEMALE_ADULT",49,49,0,"ADULT","FEMALE_ADULT",1
71,"MALE",54,"ADULT","MALE_ADULT",98,84,0,"ADULT","MALE_ADULT",0
72,"FEMALE",84,"ADULT","FEMALE_ADULT",88,84,0,"ADULT","FEMALE_ADULT",0
93,"MALE",36,"SUBADULT","MALE_SUBADULT",56,56,0,"ADULT","MALE_ADULT",1
99,"MALE",24,"JUVENILE","MALE_JUVENILE",39,39,0,"ADULT","MALE_ADULT",1
103,"MALE",36,"SUBADULT","MALE_SUBADULT",40,40,0,"ADULT","MALE_ADULT",1
