"ID","SEX","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","CENSUS.STATUS","AGE.CLASS.DEATH","CATEGORY.DEATH"
1,"MALE",5,"CUB","CUB",16,1,"JUVENILE","JUVENILE"
2,"FEMALE",5,"CUB","CUB",26,1,"SUBADULT","FEMALE_SUBADULT"
3,"MALE",78,"ADULT","MALE_ADULT",87,1,"ADULT","MALE_ADULT"
4,"FEMALE",54,"ADULT","FEMALE_ADULT",64,1,"ADULT","FEMALE_ADULT"
5,"MALE",96,"ADULT","MALE_ADULT",137,1,"ADULT","MALE_ADULT"
6,"MALE",36,"SUBADULT","MALE_SUBADULT",42,1,"ADULT","MALE_ADULT"
7,"FEMALE",36,"SUBADULT","FEMALE_SUBADULT",72,1,"ADULT","FEMALE_ADULT"
8,"MALE",18,"JUVENILE","JUVENILE",27,1,"SUBADULT","MALE_SUBADULT"
9,"FEMALE",15,"JUVENILE","JUVENILE",130,1,"ADULT","FEMALE_ADULT"
10,"FEMALE",24,"JUVENILE","JUVENILE",79,1,"ADULT","FEMALE_ADULT"
11,"FEMALE",96,"ADULT","FEMALE_ADULT",140,1,"ADULT","FEMALE_ADULT"
12,"FEMALE",5,"CUB","CUB",68,0,"ADULT","FEMALE_ADULT"
13,"FEMALE",5,"CUB","CUB",22,1,"JUVENILE","JUVENILE"
14,"FEMALE",65,"ADULT","FEMALE_ADULT",152,1,"ADULT","FEMALE_ADULT"
15,"MALE",48,"ADULT","MALE_ADULT",60,1,"ADULT","MALE_ADULT"
16,NA,3,"CUB","CUB",4,1,"CUB","CUB"
17,"MALE",3,"CUB","CUB",4,1,"CUB","CUB"
18,NA,3,"CUB","CUB",4,1,"CUB","CUB"
19,"MALE",24,"JUVENILE","JUVENILE",86,1,"ADULT","MALE_ADULT"
20,"MALE",8,"CUB","CUB",23,0,"JUVENILE","JUVENILE"
21,"FEMALE",8,"CUB","CUB",10,1,"CUB","CUB"
22,"MALE",60,"ADULT","MALE_ADULT",96,1,"ADULT","MALE_ADULT"
23,"MALE",54,"ADULT","MALE_ADULT",64,1,"ADULT","MALE_ADULT"
24,"MALE",18,"JUVENILE","JUVENILE",22,1,"JUVENILE","JUVENILE"
25,"MALE",6,"CUB","CUB",60,0,"ADULT","MALE_ADULT"
26,"MALE",6,"CUB","CUB",16,1,"JUVENILE","JUVENILE"
27,"FEMALE",1,"CUB","CUB",87,0,"ADULT","FEMALE_ADULT"
28,"FEMALE",84,"ADULT","FEMALE_ADULT",154,0,"ADULT","FEMALE_ADULT"
29,"MALE",1,"CUB","CUB",57,1,"ADULT","MALE_ADULT"
30,"MALE",24,"JUVENILE","JUVENILE",31,0,"SUBADULT","MALE_SUBADULT"
31,"MALE",120,"ADULT","MALE_ADULT",140,0,"ADULT","MALE_ADULT"
32,"FEMALE",10,"CUB","CUB",28,1,"SUBADULT","FEMALE_SUBADULT"
33,"MALE",72,"ADULT","MALE_ADULT",77,0,"ADULT","MALE_ADULT"
34,"MALE",24,"JUVENILE","JUVENILE",39,0,"ADULT","MALE_ADULT"
35,"MALE",108,"ADULT","MALE_ADULT",120,1,"ADULT","MALE_ADULT"
36,"FEMALE",36,"SUBADULT","FEMALE_SUBADULT",49,0,"ADULT","FEMALE_ADULT"
37,"FEMALE",60,"ADULT","FEMALE_ADULT",74,0,"ADULT","FEMALE_ADULT"
38,"MALE",108,"ADULT","MALE_ADULT",121,0,"ADULT","MALE_ADULT"
39,"FEMALE",4,"CUB","CUB",54,0,"ADULT","FEMALE_ADULT"
40,"FEMALE",4,"CUB","CUB",23,1,"JUVENILE","JUVENILE"
41,NA,4,"CUB","CUB",4,0,"CUB","CUB"
42,"FEMALE",2,"CUB","CUB",73,0,"ADULT","FEMALE_ADULT"
43,"MALE",36,"SUBADULT","MALE_SUBADULT",44,1,"ADULT","MALE_ADULT"
44,"MALE",60,"ADULT","MALE_ADULT",60,0,"ADULT","MALE_ADULT"
45,"FEMALE",144,"ADULT","FEMALE_ADULT",172,1,"ADULT","FEMALE_ADULT"
46,"MALE",6,"CUB","CUB",33,0,"SUBADULT","MALE_SUBADULT"
47,"FEMALE",6,"CUB","CUB",15,0,"JUVENILE","JUVENILE"
48,"MALE",10,"CUB","CUB",17,1,"JUVENILE","JUVENILE"
49,"MALE",48,"ADULT","MALE_ADULT",54,0,"ADULT","MALE_ADULT"
50,"FEMALE",10,"CUB","CUB",30,0,"SUBADULT","FEMALE_SUBADULT"
51,"FEMALE",48,"ADULT","FEMALE_ADULT",63,0,"ADULT","FEMALE_ADULT"
