"ID","SEX","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","CENSUS.STATUS","AGE.CLASS.DEATH","CATEGORY.DEATH","AGE.MET"
1,"MALE",5,"CUB","MALE_CUB",16,16,1,"JUVENILE","MALE_JUVENILE",1
2,"FEMALE",5,"CUB","FEMALE_CUB",26,24,1,"SUBADULT","FEMALE_SUBADULT",0
8,"MALE",18,"JUVENILE","MALE_JUVENILE",27,24,1,"SUBADULT","MALE_SUBADULT",0
9,"FEMALE",15,"JUVENILE","FEMALE_JUVENILE",130,24,1,"ADULT","FEMALE_ADULT",0
10,"FEMALE",24,"JUVENILE","FEMALE_JUVENILE",79,24,1,"ADULT","FEMALE_ADULT",0
12,"FEMALE",5,"CUB","FEMALE_CUB",68,24,0,"ADULT","FEMALE_ADULT",0
13,"FEMALE",5,"CUB","FEMALE_CUB",22,22,1,"JUVENILE","FEMALE_JUVENILE",1
19,"MALE",24,"JUVENILE","MALE_JUVENILE",86,24,1,"ADULT","MALE_ADULT",0
20,"MALE",8,"CUB","MALE_CUB",23,23,0,"JUVENILE","MALE_JUVENILE",1
24,"MALE",18,"JUVENILE","MALE_JUVENILE",22,22,1,"JUVENILE","MALE_JUVENILE",1
25,"MALE",6,"CUB","MALE_CUB",60,24,0,"ADULT","MALE_ADULT",0
26,"MALE",6,"CUB","MALE_CUB",16,16,1,"JUVENILE","MALE_JUVENILE",1
27,"FEMALE",1,"CUB","FEMALE_CUB",87,24,0,"ADULT","FEMALE_ADULT",0
29,"MALE",1,"CUB","MALE_CUB",57,24,1,"ADULT","MALE_ADULT",0
30,"MALE",24,"JUVENILE","MALE_JUVENILE",31,24,0,"SUBADULT","MALE_SUBADULT",0
32,"FEMALE",10,"CUB","FEMALE_CUB",28,24,1,"SUBADULT","FEMALE_SUBADULT",0
34,"MALE",24,"JUVENILE","MALE_JUVENILE",39,24,0,"ADULT","MALE_ADULT",0
39,"FEMALE",4,"CUB","FEMALE_CUB",54,24,0,"ADULT","FEMALE_ADULT",0
40,"FEMALE",4,"CUB","FEMALE_CUB",23,23,1,"JUVENILE","FEMALE_JUVENILE",1
42,"FEMALE",2,"CUB","FEMALE_CUB",73,24,0,"ADULT","FEMALE_ADULT",0
46,"MALE",6,"CUB","MALE_CUB",33,24,0,"SUBADULT","MALE_SUBADULT",0
47,"FEMALE",6,"CUB","FEMALE_CUB",15,15,0,"JUVENILE","FEMALE_JUVENILE",1
48,"MALE",10,"CUB","MALE_CUB",17,17,1,"JUVENILE","MALE_JUVENILE",1
50,"FEMALE",10,"CUB","FEMALE_CUB",30,24,0,"SUBADULT","FEMALE_SUBADULT",0
52,"FEMALE",1,"CUB","FEMALE_CUB",32,24,1,"SUBADULT","FEMALE_SUBADULT",0
55,"FEMALE",3,"CUB","FEMALE_CUB",14,14,0,"JUVENILE","FEMALE_JUVENILE",1
57,"MALE",24,"JUVENILE","MALE_JUVENILE",35,24,1,"SUBADULT","MALE_SUBADULT",0
58,"MALE",24,"JUVENILE","MALE_JUVENILE",44,24,0,"ADULT","MALE_ADULT",0
59,"FEMALE",18,"JUVENILE","FEMALE_JUVENILE",38,24,0,"ADULT","FEMALE_ADULT",0
60,"MALE",2,"CUB","MALE_CUB",13,13,0,"JUVENILE","MALE_JUVENILE",1
62,"FEMALE",3,"CUB","FEMALE_CUB",22,22,0,"JUVENILE","FEMALE_JUVENILE",1
68,"FEMALE",4,"CUB","FEMALE_CUB",15,15,1,"JUVENILE","FEMALE_JUVENILE",1
73,"MALE",3,"CUB","MALE_CUB",17,17,0,"JUVENILE","MALE_JUVENILE",1
74,"FEMALE",3,"CUB","FEMALE_CUB",17,17,0,"JUVENILE","FEMALE_JUVENILE",1
75,"MALE",7,"CUB","MALE_CUB",30,24,0,"SUBADULT","MALE_SUBADULT",0
76,"MALE",7,"CUB","MALE_CUB",29,24,0,"SUBADULT","MALE_SUBADULT",0
77,"MALE",7,"CUB","MALE_CUB",25,24,1,"SUBADULT","MALE_SUBADULT",0
83,"MALE",3,"CUB","MALE_CUB",36,24,0,"SUBADULT","MALE_SUBADULT",0
86,"MALE",24,"JUVENILE","MALE_JUVENILE",32,24,1,"SUBADULT","MALE_SUBADULT",0
87,"MALE",24,"JUVENILE","MALE_JUVENILE",24,24,1,"JUVENILE","MALE_JUVENILE",1
88,"MALE",4,"CUB","MALE_CUB",21,21,1,"JUVENILE","MALE_JUVENILE",1
89,"MALE",4,"CUB","MALE_CUB",29,24,1,"SUBADULT","MALE_SUBADULT",0
98,"MALE",21,"JUVENILE","MALE_JUVENILE",25,24,0,"SUBADULT","MALE_SUBADULT",0
99,"MALE",24,"JUVENILE","MALE_JUVENILE",39,24,0,"ADULT","MALE_ADULT",0
