"ID","SEX","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","CENSUS.STATUS","AGE.CLASS.DEATH","CATEGORY.DEATH","AGE.MET"
2,"FEMALE",5,"CUB","FEMALE_CUB",26,26,1,"SUBADULT","FEMALE_SUBADULT",1
6,"MALE",36,"SUBADULT","MALE_SUBADULT",42,36,1,"ADULT","MALE_ADULT",0
7,"FEMALE",36,"SUBADULT","FEMALE_SUBADULT",72,36,1,"ADULT","FEMALE_ADULT",0
8,"MALE",18,"JUVENILE","MALE_JUVENILE",27,27,1,"SUBADULT","MALE_SUBADULT",1
9,"FEMALE",15,"JUVENILE","FEMALE_JUVENILE",130,36,1,"ADULT","FEMALE_ADULT",0
10,"FEMALE",24,"JUVENILE","FEMALE_JUVENILE",79,36,1,"ADULT","FEMALE_ADULT",0
12,"FEMALE",5,"CUB","FEMALE_CUB",68,36,0,"ADULT","FEMALE_ADULT",0
19,"MALE",24,"JUVENILE","MALE_JUVENILE",86,36,1,"ADULT","MALE_ADULT",0
25,"MALE",6,"CUB","MALE_CUB",60,36,0,"ADULT","MALE_ADULT",0
27,"FEMALE",1,"CUB","FEMALE_CUB",87,36,0,"ADULT","FEMALE_ADULT",0
29,"MALE",1,"CUB","MALE_CUB",57,36,1,"ADULT","MALE_ADULT",0
30,"MALE",24,"JUVENILE","MALE_JUVENILE",31,31,0,"SUBADULT","MALE_SUBADULT",1
32,"FEMALE",10,"CUB","FEMALE_CUB",28,28,1,"SUBADULT","FEMALE_SUBADULT",1
34,"MALE",24,"JUVENILE","MALE_JUVENILE",39,36,0,"ADULT","MALE_ADULT",0
36,"FEMALE",36,"SUBADULT","FEMALE_SUBADULT",49,36,0,"ADULT","FEMALE_ADULT",0
39,"FEMALE",4,"CUB","FEMALE_CUB",54,36,0,"ADULT","FEMALE_ADULT",0
42,"FEMALE",2,"CUB","FEMALE_CUB",73,36,0,"ADULT","FEMALE_ADULT",0
43,"MALE",36,"SUBADULT","MALE_SUBADULT",44,36,1,"ADULT","MALE_ADULT",0
46,"MALE",6,"CUB","MALE_CUB",33,33,0,"SUBADULT","MALE_SUBADULT",1
50,"FEMALE",10,"CUB","FEMALE_CUB",30,30,0,"SUBADULT","FEMALE_SUBADULT",1
52,"FEMALE",1,"CUB","FEMALE_CUB",32,32,1,"SUBADULT","FEMALE_SUBADULT",1
57,"MALE",24,"JUVENILE","MALE_JUVENILE",35,35,1,"SUBADULT","MALE_SUBADULT",1
58,"MALE",24,"JUVENILE","MALE_JUVENILE",44,36,0,"ADULT","MALE_ADULT",0
59,"FEMALE",18,"JUVENILE","FEMALE_JUVENILE",38,36,0,"ADULT","FEMALE_ADULT",0
67,"FEMALE",29,"SUBADULT","FEMALE_SUBADULT",44,36,0,"ADULT","FEMALE_ADULT",0
75,"MALE",7,"CUB","MALE_CUB",30,30,0,"SUBADULT","MALE_SUBADULT",1
76,"MALE",7,"CUB","MALE_CUB",29,29,0,"SUBADULT","MALE_SUBADULT",1
77,"MALE",7,"CUB","MALE_CUB",25,25,1,"SUBADULT","MALE_SUBADULT",1
79,"MALE",29,"SUBADULT","MALE_SUBADULT",29,29,0,"SUBADULT","MALE_SUBADULT",1
83,"MALE",3,"CUB","MALE_CUB",36,36,0,"SUBADULT","MALE_SUBADULT",1
86,"MALE",24,"JUVENILE","MALE_JUVENILE",32,32,1,"SUBADULT","MALE_SUBADULT",1
89,"MALE",4,"CUB","MALE_CUB",29,29,1,"SUBADULT","MALE_SUBADULT",1
93,"MALE",36,"SUBADULT","MALE_SUBADULT",56,36,0,"ADULT","MALE_ADULT",0
98,"MALE",21,"JUVENILE","MALE_JUVENILE",25,25,0,"SUBADULT","MALE_SUBADULT",1
99,"MALE",24,"JUVENILE","MALE_JUVENILE",39,36,0,"ADULT","MALE_ADULT",0
100,"MALE",29,"SUBADULT","MALE_SUBADULT",34,34,0,"SUBADULT","MALE_SUBADULT",1
103,"MALE",36,"SUBADULT","MALE_SUBADULT",40,36,0,"ADULT","MALE_ADULT",0
