ID,SEX,DD,YEAR,PREY.BIO,LEO.DEN,LEO.DEN.SE
M7,M,10.1,2003,1081.7,NA,NA
F10,F,5.8,2003,1081.7,NA,NA
F9,F,4.4,2004,410.4,NA,NA
F16,F,2.7,2004,410.4,NA,NA
F15,F,2.9,2004,410.4,NA,NA
F8,F,4.4,2004,410.4,NA,NA
M14,M,13,2005,662.8,7.2,1.1
M20,M,5.8,2005,662.8,7.2,1.1
M18,M,3.4,2005,662.8,7.2,1.1
M28,M,3,2005,662.8,7.2,1.1
M22,M,10.4,2005,662.8,7.2,1.1
F33,F,1.3,2007,941.6,9.4,1.9
F40,F,1.2,2007,941.6,9.4,1.9
F41,F,0.9,2007,941.6,9.4,1.9
F44,F,3.9,2007,941.6,9.4,1.9
F53,F,1.3,2007,941.6,9.4,1.9
M29,M,3,2008,1068.5,10.3,NA
F51,F,3.7,2008,1068.5,10.3,NA
M34,M,3.3,2008,1068.5,10.3,NA
M59,M,1.2,2008,1068.5,10.3,NA
M45,M,14.5,2009,1044.2,11.2,2.1
F58,F,1.4,2009,1044.2,11.2,2.1
F50,F,1.5,2009,1044.2,11.2,2.1
M54,M,2.5,2010,1045,10.6,NA
M67,M,194.5,2010,1045,10.6,NA
M55,M,47.3,2010,1045,10.6,NA
M65,M,7.4,2011,972.4,10,1.7
M66,M,8.9,2011,972.4,10,1.7
M71,M,5.6,2011,972.4,10,1.7
M69,M,3.9,2011,972.4,10,1.7
M74,M,5.5,2011,972.4,10,1.7
M73,M,8.2,2011,972.4,10,1.7
M72,M,16.9,2012,1349.9,NA,NA
M70,M,33.6,2012,1349.9,NA,NA
M68,M,22.6,2012,1349.9,NA,NA
