"ID","MOTHER.ID","CUB.D.O.B","NUMBER.CUBS","MALE","FEMALE","NUMBER.INDEP","MOTHER.AGE.MONTHS","MOTHER.AGE.CLASS","MOTHER.D.O.B","LITTER.NUMBER","CERTAINTY"
1,"3_4","1995/10/01",2,1,1,2,38,"ADULT_36_48","1992/08/01",1,"CERTAIN"
2,"3_4","1997/10/01",2,NA,NA,0,62,"ADULT_60_72","1992/08/01",2,"CERTAIN"
3,"3_4","1998/03/01",1,1,NA,0,67,"ADULT_60_72","1992/08/01",3,"CERTAIN"
4,"3_4","1998/09/01",2,1,1,2,73,"ADULT_72_84","1992/08/01",4,"CERTAIN"
5,"3_4","2001/09/01",2,1,1,0,109,"ADULT_84","1992/08/01",5,"CERTAIN"
6,"3_4","2002/12/01",2,NA,NA,0,124,"ADULT_84","1992/08/01",6,"CERTAIN"
7,"3_4","2003/09/01",2,NA,NA,0,133,"ADULT_84","1992/08/01",7,"CERTAIN"
8,"3_4","2004/02/01",2,NA,1,0,138,"ADULT_84","1992/08/01",8,"CERTAIN"
9,"3_4","2004/12/01",2,NA,NA,0,148,"ADULT_84","1992/08/01",9,"CERTAIN"
10,"3_4","2006/02/01",NA,NA,NA,0,162,"ADULT_84","1992/08/01",10,"CERTAIN"
11,"3_4","2007/02/01",1,1,NA,0,174,"ADULT_84","1992/08/01",11,"CERTAIN"
12,"Campbell_Koppies","2004/02/01",NA,NA,NA,0,52,"ADULT_48_60","1999/10/01",1,"CERTAIN"
13,"Campbell_Koppies","2004/10/01",2,NA,2,2,60,"ADULT_48_60","1999/10/01",2,"CERTAIN"
14,"Campbell_Koppies","2007/07/01",1,NA,1,1,93,"ADULT_84","1999/10/01",3,"CERTAIN"
15,"Campbell_Koppies","2009/02/01",3,NA,NA,0,112,"ADULT_84","1999/10/01",4,"CERTAIN"
16,"Campbell_Koppies","2009/11/01",2,NA,NA,0,121,"ADULT_84","1999/10/01",5,"CERTAIN"
17,"Campbell_Koppies","2010/12/01",NA,NA,NA,0,134,"ADULT_84","1999/10/01",6,"CERTAIN"
18,"Campbell_Koppies","2011/05/01",2,NA,NA,0,139,"ADULT_84","1999/10/01",7,"CERTAIN"
19,"Campbell_Koppies","2013/03/01",1,NA,NA,0,161,"ADULT_84","1999/10/01",8,"CERTAIN"
20,"Dudley_Riverbank","2002/12/01",2,1,1,0,51,"ADULT_48_60","1998/09/01",1,"CERTAIN"
21,"Dudley_Riverbank","2004/12/01",2,NA,NA,0,75,"ADULT_72_84","1998/09/01",2,"CERTAIN"
22,"Dudley_Riverbank","2005/11/01",2,NA,NA,0,86,"ADULT_84","1998/09/01",3,"CERTAIN"
23,"Dudley_Riverbank","2006/10/01",2,2,NA,2,97,"ADULT_84","1998/09/01",4,"CERTAIN"
24,"Dudley_Riverbank","2009/07/01",2,1,1,1,130,"ADULT_84","1998/09/01",5,"CERTAIN"
25,"Dudley_Riverbank","2012/03/01",1,NA,1,1,163,"ADULT_84","1998/08/01",6,"CERTAIN"
26,"Flockfield","2011/06/01",2,1,NA,NA,86,"ADULT_84","2004/04/01",1,"CERTAIN"
27,"Hlabankunzi","01/01/2010",2,NA,2,0,44,"ADULT_36_48","2006/05/01",1,"CERTAIN"
28,"Hlabankunzi","01/12/2011",1,NA,NA,0,67,"ADULT_60_72","2006/05/01",2,"CERTAIN"
29,"Hlabankunzi","01/09/2012",1,NA,1,1,76,"ADULT_72_84","2006/05/01",3,"CERTAIN"
30,"Hlabankunzi","01/02/2014",2,NA,NA,0,93,"ADULT_84","2006/05/01",4,"CERTAIN"
31,"Hlabankunzi","01/12/2014",2,NA,NA,NA,103,"ADULT_84","2006/05/01",5,"CERTAIN"
32,"Inkanyeni","2010/02/01",1,1,NA,0,59,"ADULT_48_60","2005/03/01",1,"UNCERTAIN"
33,"Inkanyeni","2011/03/01",1,1,NA,1,72,"ADULT_60_72","2005/03/01",2,"UNCERTAIN"
34,"Inkanyeni","2012/12/01",1,NA,NA,0,93,"ADULT_84","2005/03/01",3,"UNCERTAIN"
35,"Inkanyeni","2013/10/01",2,1,1,NA,103,"ADULT_84","2005/03/01",4,"UNCERTAIN"
36,"Jakkalsdraai","2004/04/01",2,NA,2,2,53,"ADULT_48_60","1999/11/01",1,"CERTAIN"
37,"Jakkalsdraai","2006/06/01",NA,NA,NA,0,79,"ADULT_72_84","1999/11/01",2,"CERTAIN"
38,"Jakkalsdraai","2007/01/01",NA,NA,NA,0,86,"ADULT_84","1999/11/01",3,"CERTAIN"
39,"Jakkalsdraai","2008/12/01",1,1,NA,1,109,"ADULT_84","1999/11/01",4,"CERTAIN"
40,"Jakkalsdraai","2010/08/01",1,NA,NA,0,129,"ADULT_84","1999/11/01",5,"CERTAIN"
41,"Jakkalsdraai","2011/07/01",2,NA,2,1,140,"ADULT_84","1999/11/01",6,"CERTAIN"
42,"Kapen","1997/06/01",NA,NA,NA,0,45,"ADULT_36_48","1993/09/01",1,"CERTAIN"
43,"Kapen","1998/05/01",2,NA,NA,0,56,"ADULT_48_60","1993/09/01",2,"CERTAIN"
44,"Kapen","1999/11/01",1,NA,1,1,74,"ADULT_72_84","1993/09/01",3,"CERTAIN"
45,"Kapen","2001/11/01",2,NA,1,1,98,"ADULT_84","1993/09/01",4,"CERTAIN"
46,"Kapen","2004/10/01",NA,NA,NA,0,133,"ADULT_84","1993/09/01",5,"CERTAIN"
47,"Kapen","2005/06/01",1,1,NA,1,141,"ADULT_84","1993/09/01",6,"CERTAIN"
48,"Kapen","2008/01/01",2,NA,NA,0,172,"ADULT_84","1993/09/01",7,"CERTAIN"
49,"Kapen","2009/01/01",1,NA,NA,0,184,"ADULT_84","1993/09/01",8,"CERTAIN"
50,"Karula","2007/02/01",2,NA,2,2,35,"SUBADULT","2004/03/01",1,"CERTAIN"
51,"Karula","2008/11/01",2,2,NA,2,56,"ADULT_48_60","2004/03/01",2,"CERTAIN"
52,"Karula","2010/10/01",2,1,1,1,79,"ADULT_72_84","2004/03/01",3,"CERTAIN"
53,"Karula","2012/12/01",2,2,NA,2,105,"ADULT_84","2004/03/01",4,"CERTAIN"
54,"Karula","2014/11/01",1,NA,NA,0,128,"ADULT_84","2004/03/01",5,"CERTAIN"
55,"Kikilezi","2006/02/01",2,1,NA,1,51,"ADULT_48_60","2001/11/01",1,"CERTAIN"
56,"Kikilezi","2008/02/01",2,2,NA,1,75,"ADULT_72_84","2001/11/01",2,"CERTAIN"
57,"Kikilezi","2010/01/01",3,2,1,1,98,"ADULT_84","2001/11/01",3,"CERTAIN"
58,"Kikilezi","2012/03/01",2,1,NA,0,124,"ADULT_84","2001/11/01",4,"CERTAIN"
59,"Kikilezi","2013/07/01",NA,NA,NA,0,140,"ADULT_84","2001/11/01",5,"CERTAIN"
60,"Kikilezi","2013/12/01",2,1,1,NA,145,"ADULT_84","2001/11/01",6,"CERTAIN"
61,"KK","2009/02/01",1,1,NA,1,33,"SUBADULT","2006/05/01",1,"CERTAIN"
