"ID","SEX","D.O.B","MONITOR.START.YEAR","MONITOR.START.YR","MONITOR.END.YEAR","MONITOR.END.YR","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","AGE.CLASS.DEATH","CATEGORY.DEATH","FATE","CENSUS.STATUS","AGE.MET"
1,"MALE","01/10/1995","01/10/1995",1995,"01/06/2004",2004,0,"CUB","MALE_CUB",104,84,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0
2,"FEMALE","01/10/1995","01/10/1995",1995,"01/12/2013",2013,0,"CUB","FEMALE_CUB",218,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
6,"MALE","01/09/1998","01/09/1998",1998,"01/01/2009",2009,0,"CUB","MALE_CUB",124,84,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0
7,"FEMALE","01/09/1998","01/09/1998",1998,"01/01/2015",2015,0,"CUB","FEMALE_CUB",196,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
23,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2008",2008,0,"CUB","FEMALE_CUB",39,39,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,1
24,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2015",2015,0,"CUB","FEMALE_CUB",123,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
25,"FEMALE","01/07/2007","01/07/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",90,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
42,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,84,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
43,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,84,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
45,"MALE","01/07/2009","01/07/2009",2009,"01/01/2015",2015,0,"CUB","MALE_CUB",66,66,"ADULT_60_72","MALE_ADULT_60_72","CENSORED",0,1
58,"MALE","01/03/2011","01/03/2011",2011,"01/01/2015",2015,0,"CUB","MALE_CUB",46,46,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,1
62,"FEMALE","01/04/2004","01/04/2004",2004,"01/05/2007",2007,0,"CUB","FEMALE_CUB",37,37,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,1
63,"FEMALE","01/04/2004","01/04/2004",2004,"01/03/2013",2013,0,"CUB","FEMALE_CUB",107,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
71,"FEMALE","01/07/2011","01/07/2011",2011,"01/09/2014",2014,0,"CUB","FEMALE_CUB",38,38,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,1
76,"FEMALE","01/11/1999","01/11/1999",1999,"01/01/2015",2015,0,"CUB","FEMALE_CUB",182,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
78,"FEMALE","01/11/2001","01/11/2001",2001,"01/07/2005",2005,0,"CUB","FEMALE_CUB",44,44,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,1
81,"MALE","01/06/2005","01/06/2005",2005,"01/01/2015",2015,0,"CUB","MALE_CUB",115,84,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
85,"FEMALE","01/02/2007","01/02/2007",2007,"01/06/2013",2013,0,"CUB","FEMALE_CUB",76,76,"ADULT_72_84","FEMALE_ADULT_72_84","CENSORED",0,1
