"ID","SEX","D.O.B","MONITOR.START.YEAR","MONITOR.START.YR","MONITOR.END.YEAR","MONITOR.END.YR","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","AGE.CLASS.DEATH","CATEGORY.DEATH","FATE","CENSUS.STATUS","AGE.MET","MOTHER","LITTER","MOTHER.AGE.LITTER","MOTHER.AGE.CLASS.LITTER","SURVIVED.12","SURVIVED.24"
1,"MALE","01/10/1995","01/10/1995",1995,"01/06/2004",2004,0,"CUB","MALE_CUB",104,12,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0,"3_4",1,38,"ADULT_36_48",1,1
2,"FEMALE","01/10/1995","01/10/1995",1995,"01/12/2013",2013,0,"CUB","FEMALE_CUB",218,12,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"3_4",1,38,"ADULT_36_48",1,1
3,NA,"01/10/1997","01/10/1997",1997,"01/11/1997",1997,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"3_4",2,62,"ADULT_60_72",0,0
4,NA,"01/10/1997","01/10/1997",1997,"01/11/1997",1997,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"3_4",2,62,"ADULT_60_72",0,0
5,"MALE","01/03/1998","01/03/1998",1998,"01/04/1998",1998,0,"CUB","MALE_CUB",1,1,"CUB","MALE_CUB","MORTALITY",1,1,"3_4",3,67,"ADULT_60_72",0,0
6,"MALE","01/09/1998","01/09/1998",1998,"01/01/2009",2009,0,"CUB","MALE_CUB",124,12,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0,"3_4",4,73,"ADULT_72_84",1,1
7,"FEMALE","01/09/1998","01/09/1998",1998,"01/01/2015",2015,0,"CUB","FEMALE_CUB",196,12,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"3_4",4,73,"ADULT_72_84",1,1
8,"FEMALE","01/09/2001","01/09/2001",2001,"12/12/2001",2001,0,"CUB","FEMALE_CUB",3,3,"CUB","FEMALE_CUB","MORTALITY",1,1,"3_4",5,109,"ADULT_84",0,0
9,"MALE","01/09/2001","01/09/2001",2001,"01/06/2002",2002,0,"CUB","MALE_CUB",9,9,"CUB","MALE_CUB","MORTALITY",1,1,"3_4",5,109,"ADULT_84",0,0
10,NA,"01/12/2002","01/12/2002",2002,"01/03/2003",2003,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"3_4",6,124,"ADULT_84",0,0
