ID,SEX,D.O.B,MONITOR.START.YEAR,MONITOR.START.YR,MONITOR.END.YEAR,MONITOR.END.YR,AGE.START.MONTHS,AGE.CLASS.START,CATEGORY.START,AGE.DEATH.MONTHS,AGE.MONTHS.12,AGE.MONTHS.24,AGE.CLASS.DEATH,CATEGORY.DEATH,FATE,CENSUS.STATUS,AGE.MET.12,AGE.MET.24,MOTHER,LITTER,MOTHER.AGE.LITTER,MOTHER.AGE.CLASS.LITTER,SURVIVED.12,SURVIVED.24
1,MALE,34973,34973,1995,38139,2004,0,CUB,MALE_CUB,104,12,24,ADULT_84,MALE_ADULT_84,MORTALITY,1,0,0,3_4,1,38,ADULT_36_48,1,1
2,FEMALE,34973,34973,1995,41609,2013,0,CUB,FEMALE_CUB,218,12,24,ADULT_84,FEMALE_ADULT_84,MORTALITY,1,0,0,3_4,1,38,ADULT_36_48,1,1
3,NA,35704,35704,1997,35735,1997,0,CUB,NA_CUB,1,1,1,CUB,NA_CUB,MORTALITY,1,1,1,3_4,2,62,ADULT_60_72,0,0
4,NA,35704,35704,1997,35735,1997,0,CUB,NA_CUB,1,1,1,CUB,NA_CUB,MORTALITY,1,1,1,3_4,2,62,ADULT_60_72,0,0
5,MALE,35855,35855,1998,35886,1998,0,CUB,MALE_CUB,1,1,1,CUB,MALE_CUB,MORTALITY,1,1,1,3_4,3,67,ADULT_60_72,0,0
6,MALE,36039,36039,1998,39814,2009,0,CUB,MALE_CUB,124,12,24,ADULT_84,MALE_ADULT_84,MORTALITY,1,0,0,3_4,4,73,ADULT_72_84,1,1
7,FEMALE,36039,36039,1998,42005,2015,0,CUB,FEMALE_CUB,196,12,24,ADULT_84,FEMALE_ADULT_84,CENSORED,0,0,0,3_4,4,73,ADULT_72_84,1,1
8,FEMALE,37135,37135,2001,37237,2001,0,CUB,FEMALE_CUB,3,3,3,CUB,FEMALE_CUB,MORTALITY,1,1,1,3_4,5,109,ADULT_84,0,0
9,MALE,37135,37135,2001,37408,2002,0,CUB,MALE_CUB,9,9,9,CUB,MALE_CUB,MORTALITY,1,1,1,3_4,5,109,ADULT_84,0,0
10,NA,37591,37591,2002,37681,2003,0,CUB,NA_CUB,3,3,3,CUB,NA_CUB,MORTALITY,1,1,1,3_4,6,124,ADULT_84,0,0
11,NA,37591,37591,2002,37681,2003,0,CUB,NA_CUB,3,3,3,CUB,NA_CUB,MORTALITY,1,1,1,3_4,6,124,ADULT_84,0,0
12,NA,37865,37865,2003,37895,2003,0,CUB,NA_CUB,1,1,1,CUB,NA_CUB,MORTALITY,1,1,1,3_4,7,133,ADULT_84,0,0
13,NA,37865,37865,2003,37895,2003,0,CUB,NA_CUB,1,1,1,CUB,NA_CUB,MORTALITY,1,1,1,3_4,7,133,ADULT_84,0,0
14,NA,38018,38018,2004,38078,2004,0,CUB,NA_CUB,2,2,2,CUB,NA_CUB,MORTALITY,1,1,1,3_4,8,138,ADULT_84,0,0
15,FEMALE,38018,38018,2004,38261,2004,0,CUB,FEMALE_CUB,8,8,8,CUB,FEMALE_CUB,MORTALITY,1,1,1,3_4,8,138,ADULT_84,0,0
16,NA,38322,38322,2004,38353,2005,0,CUB,NA_CUB,1,1,1,CUB,NA_CUB,MORTALITY,1,1,1,3_4,9,148,ADULT_84,0,0
17,NA,38323,38323,2004,38353,2005,0,CUB,NA_CUB,1,1,1,CUB,NA_CUB,MORTALITY,1,1,1,3_4,9,148,ADULT_84,0,0
18,NA,38749,38749,2006,38808,2006,0,CUB,NA_CUB,2,2,2,CUB,NA_CUB,MORTALITY,1,1,1,3_4,10,162,ADULT_84,0,0
19,NA,38749,38749,2006,38808,2006,0,CUB,NA_CUB,2,2,2,CUB,NA_CUB,MORTALITY,1,1,1,3_4,10,162,ADULT_84,0,0
20,MALE,39114,39114,2007,39479,2008,0,CUB,MALE_CUB,12,12,12,CUB,MALE_CUB,MORTALITY,1,1,1,3_4,11,174,ADULT_84,1,0
21,NA,38018,38018,2004,38078,2004,0,CUB,NA_CUB,2,2,2,CUB,NA_CUB,MORTALITY,1,1,1,Campbell_Koppies,1,52,ADULT_48_60,0,0
22,NA,38018,38018,2004,38078,2004,0,CUB,NA_CUB,2,2,2,CUB,NA_CUB,MORTALITY,1,1,1,Campbell_Koppies,1,52,ADULT_48_60,0,0
23,FEMALE,38261,38261,2004,39448,2008,0,CUB,FEMALE_CUB,39,12,24,ADULT_36_48,FEMALE_ADULT_36_48,MORTALITY,1,0,0,Campbell_Koppies,2,60,ADULT_48_60,1,1
24,FEMALE,38261,38261,2004,42005,2015,0,CUB,FEMALE_CUB,123,12,24,ADULT_84,FEMALE_ADULT_84,CENSORED,0,0,0,Campbell_Koppies,2,60,ADULT_48_60,1,1
25,FEMALE,39264,39264,2007,42005,2015,0,CUB,FEMALE_CUB,90,12,24,ADULT_84,FEMALE_ADULT_84,CENSORED,0,0,0,Campbell_Koppies,3,93,ADULT_84,1,1
26,NA,39845,39845,2009,39904,2009,0,CUB,NA_CUB,2,2,2,CUB,NA_CUB,MORTALITY,1,1,1,Campbell_Koppies,4,112,ADULT_84,0,0
27,NA,39845,39845,2009,40026,2009,0,CUB,NA_CUB,6,6,6,CUB,NA_CUB,MORTALITY,1,1,1,Campbell_Koppies,4,112,ADULT_84,0,0
28,NA,39845,39845,2009,40026,2009,0,CUB,NA_CUB,6,6,6,CUB,NA_CUB,MORTALITY,1,1,1,Campbell_Koppies,4,112,ADULT_84,0,0
29,NA,40118,40118,2009,40330,2010,0,CUB,NA_CUB,7,7,7,CUB,NA_CUB,MORTALITY,1,1,1,Campbell_Koppies,5,121,ADULT_84,0,0
30,NA,40118,40118,2009,40360,2010,0,CUB,NA_CUB,8,8,8,CUB,NA_CUB,MORTALITY,1,1,1,Campbell_Koppies,5,121,ADULT_84,0,0
31,NA,40513,40513,2010,40575,2011,0,CUB,NA_CUB,2,2,2,CUB,NA_CUB,MORTALITY,1,1,1,Campbell_Koppies,6,134,ADULT_84,0,0
32,NA,40513,40513,2010,40575,2011,0,CUB,NA_CUB,2,2,2,CUB,NA_CUB,MORTALITY,1,1,1,Campbell_Koppies,6,134,ADULT_84,0,0
