"ID","SEX","D.O.B","MONITOR.START.YEAR","MONITOR.START.YR","MONITOR.END.YEAR","MONITOR.END.YR","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","AGE.CLASS.DEATH","CATEGORY.DEATH","FATE","CENSUS.STATUS","AGE.MET","MOTHER.AGE.CLASS.LITTER","SURVIVED.24"
1,"MALE","01/10/1995","01/10/1995",1995,"01/06/2004",2004,0,"CUB","MALE_CUB",104,24,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0,"ADULT_36_48",1
2,"FEMALE","01/10/1995","01/10/1995",1995,"01/12/2013",2013,0,"CUB","FEMALE_CUB",218,24,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"ADULT_36_48",1
6,"MALE","01/09/1998","01/09/1998",1998,"01/01/2009",2009,0,"CUB","MALE_CUB",124,24,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0,"ADULT_72_84",1
7,"FEMALE","01/09/1998","01/09/1998",1998,"01/01/2015",2015,0,"CUB","FEMALE_CUB",196,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_72_84",1
23,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2008",2008,0,"CUB","FEMALE_CUB",39,24,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,0,"ADULT_48_60",1
24,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2015",2015,0,"CUB","FEMALE_CUB",123,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_48_60",1
25,"FEMALE","01/07/2007","01/07/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",90,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
42,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,24,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
43,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,24,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
45,"MALE","01/07/2009","01/07/2009",2009,"01/01/2015",2015,0,"CUB","MALE_CUB",66,24,"ADULT_60_72","MALE_ADULT_60_72","CENSORED",0,0,"ADULT_84",1
46,"FEMALE","01/03/2012","01/03/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",34,24,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
49,"FEMALE","01/01/2010","01/01/2010",2010,"01/02/2011",2011,0,"CUB","FEMALE_CUB",13,13,"JUVENILE","FEMALE_JUVENILE","MORTALITY",1,1,"ADULT_36_48",0
