"ID","SEX","D.O.B","MONITOR.START.YEAR","MONITOR.START.YR","MONITOR.END.YEAR","MONITOR.END.YR","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","AGE.CLASS.DEATH","CATEGORY.DEATH","FATE","CENSUS.STATUS","AGE.MET"
1,"MALE","01/10/1995","01/10/1995",1995,"01/06/2004",2004,0,"CUB","MALE_CUB",104,36,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0
2,"FEMALE","01/10/1995","01/10/1995",1995,"01/12/2013",2013,0,"CUB","FEMALE_CUB",218,36,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
6,"MALE","01/09/1998","01/09/1998",1998,"01/01/2009",2009,0,"CUB","MALE_CUB",124,36,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0
7,"FEMALE","01/09/1998","01/09/1998",1998,"01/01/2015",2015,0,"CUB","FEMALE_CUB",196,36,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
23,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2008",2008,0,"CUB","FEMALE_CUB",39,36,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,0
24,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2015",2015,0,"CUB","FEMALE_CUB",123,36,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
25,"FEMALE","01/07/2007","01/07/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",90,36,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
42,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,36,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
43,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,36,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
45,"MALE","01/07/2009","01/07/2009",2009,"01/01/2015",2015,0,"CUB","MALE_CUB",66,36,"ADULT_60_72","MALE_ADULT_60_72","CENSORED",0,0
46,"FEMALE","01/03/2012","01/03/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",34,34,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,1
52,"FEMALE","01/09/2012","01/09/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",28,28,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,1
58,"MALE","01/03/2011","01/03/2011",2011,"01/01/2015",2015,0,"CUB","MALE_CUB",46,36,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,0
62,"FEMALE","01/04/2004","01/04/2004",2004,"01/05/2007",2007,0,"CUB","FEMALE_CUB",37,36,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,0
63,"FEMALE","01/04/2004","01/04/2004",2004,"01/03/2013",2013,0,"CUB","FEMALE_CUB",107,36,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
71,"FEMALE","01/07/2011","01/07/2011",2011,"01/09/2014",2014,0,"CUB","FEMALE_CUB",38,36,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,0
76,"FEMALE","01/11/1999","01/11/1999",1999,"01/01/2015",2015,0,"CUB","FEMALE_CUB",182,36,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
78,"FEMALE","01/11/2001","01/11/2001",2001,"01/07/2005",2005,0,"CUB","FEMALE_CUB",44,36,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,0
81,"MALE","01/06/2005","01/06/2005",2005,"01/01/2015",2015,0,"CUB","MALE_CUB",115,36,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
85,"FEMALE","01/02/2007","01/02/2007",2007,"01/06/2013",2013,0,"CUB","FEMALE_CUB",76,36,"ADULT_72_84","FEMALE_ADULT_72_84","CENSORED",0,0
86,"FEMALE","01/02/2007","01/02/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",95,36,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
87,"MALE","01/11/2008","01/11/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",74,36,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,0
88,"MALE","01/11/2008","01/11/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",74,36,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,0
90,"MALE","01/10/2010","01/10/2010",2010,"01/01/2015",2015,0,"CUB","MALE_CUB",51,36,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,0
91,"MALE","01/12/2012","01/12/2012",2012,"01/01/2015",2015,0,"CUB","MALE_CUB",25,25,"SUBADULT","MALE_SUBADULT","CENSORED",0,1
92,"MALE","01/12/2012","01/12/2012",2012,"01/01/2015",2015,0,"CUB","MALE_CUB",25,25,"SUBADULT","MALE_SUBADULT","CENSORED",0,1
95,"MALE","01/02/2006","01/02/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",107,36,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
97,"MALE","01/02/2008","01/02/2008",2008,"01/12/2011",2011,0,"CUB","MALE_CUB",46,36,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,0
100,"FEMALE","01/01/2010","01/01/2010",2010,"01/01/2015",2015,0,"CUB","FEMALE_CUB",60,36,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,0
134,"MALE","01/11/1999","01/11/1999",1999,"01/12/2001",2001,0,"CUB","MALE_CUB",25,25,"SUBADULT","MALE_SUBADULT","CENSORED",0,1
135,"MALE","01/11/1999","01/11/1999",1999,"01/12/2001",2001,0,"CUB","MALE_CUB",25,25,"SUBADULT","MALE_SUBADULT","CENSORED",0,1
137,"FEMALE","01/12/2001","01/12/2001",2001,"01/03/2012",2012,0,"CUB","FEMALE_CUB",123,36,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
138,"FEMALE","01/12/2001","01/12/2001",2001,"01/06/2013",2013,0,"CUB","FEMALE_CUB",138,36,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
139,"MALE","01/01/2004","01/01/2004",2004,"01/03/2006",2006,0,"CUB","MALE_CUB",26,26,"SUBADULT","MALE_SUBADULT","CENSORED",0,1
142,"FEMALE","01/05/2006","01/05/2006",2006,"01/01/2015",2015,0,"CUB","FEMALE_CUB",104,36,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
149,"FEMALE","01/11/2006","01/11/2006",2006,"01/04/2014",2014,0,"CUB","FEMALE_CUB",89,36,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
150,"FEMALE","01/04/2009","01/04/2009",2009,"01/01/2015",2015,0,"CUB","FEMALE_CUB",69,36,"ADULT_60_72","FEMALE_ADULT_60_72","CENSORED",0,0
153,"FEMALE","01/08/2012","01/08/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",29,29,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,1
